id_dia,horario_inicio
3567053947987689,N1
3548476404154713,T1
3543712020898274,M6
56100415,T6
3573299731549191,N5
5100137880053176,M4
3541033257755745,M1
3543023251402988,T1
3553292002926325,T2
3576393271328152,M6
6304400801297144823,N5
30489944550887,M6
6334757481733433,T5
3571615,T3
3565803562487965,N4
4026961044159429,N5
3565088017997848,T3
4041370736514597,T2
3567352918143565,N5
3537695412051644,T5
5602231036493262,N5
35741115,N5
5100134668612869,M3
3547748088082068,T2
4026815,T2
56022563305236138,M5
4905746063557538,N5
6334999422850369,T1
3586993169940477,T2
3538094382876298,N2
3585299084680169,N1
201705862650893,T5
3576583839565358,N4
3548420293660737,M4
4202858210543,N5
374283370024952,N1
3575190411614157,N3
3582691028603567,T4
6304740293722391212,M3
3585554018998263,M6
3547870538923038,T4
201587600193414,N5
372301066256993,T3
3570402721440818,N5
3564171409665958,T4
5334045133730961,T3
3572472926906358,N5
3564083450861933,T3
5048373561578083,N5
35800915,N2
4905155092979612187,N4
4026854079875045,N2
3542587248554235,M2
5602237111550017,M4
5007665584263893,N3
3537496337534099,N2
5602216048731257694,T2
4405317907673587,N5
491150549904576647,N1
56022269258361788,M2
3555755119368142,N1
3584952557533882,T1
3574031473223878,N3
3583454386332058,M5
3557809600375245,M3
51334415,M5
5100177844737415,N3
67715355347890793,T3
3587718861785048,T6
5588469737258281,N4
5893509828931666,N1
3579907279543814,M4
3561338103578935,T4
3579084031185043,T4
6709583809970789,T3
3529495973264896,T2
3540289957129778,N3
5010126647540236,M6
3550919453427535,T1
6381466174023027,M6
35539815,T4
6759050918188504,N2
3541113321586084,N3
35896815,M2
3564456115247435,M3
4041598752232666,T6
3532407293380398,T3
3572658762831789,T5
561086383259190435,N1
3532152507451839,T5
3546054970254829,M6
201966220623473,N5
3555198182562095,T3
35374615,N3
0604111418897622568,T3
5100140178569358,N5
5610930578402692462,T6
201972199674612,N5
5472005383693832,T6
3537575826968718,N5
3565914427721819,N3
3543500764739691,M4
30445998709365,N3
5100136311252142,M2
30044209341645,T1
5108752353071331,T4
675923928586023215,M1
3540448027999277,T1
3538969616555471,N1
36242132443215,T2
3546666888003194,T6
491110720448433046,N4
3541491627314322,T2
3537351588794936,T6
35558315,N4
5100131690221081,N2
3539313634740386,N1
3579599823306507,N1
6759099484741328747,M1
56109515,T6
35315715,M4
3576864565905632,N5
3546909486147991,T2
5602251187691634918,M3
347749922349885,T1
3585261728021366,N3
30311988079260,T4
4936991691566837512,N1
3537157704352123,T1
4917383616963017,M5
3535506046219592,N3
6767663332766710662,N5
3578155492362684,M2
40179615,N5
4041592063243231,N4
4244408040582,T1
3580509901862427,N4
40267615,T3
4905205968487515,M1
3558977597859817,N3
502098161268046487,T6
5100175109004661,M1
3568861254919783,T5
3582336419223555,T1
3579338847017885,M1
5893966071519899492,T5
3582349011038289,T4
3528901834058535,T2
3528951644415193,N1
5477606758819871,N1
346364774941929,M5
3589009388358552,M4
5602239306045514,M6
3551107636147969,T1
503838259690271435,T2
3580689355640295,M5
5100131621647149,N2
3582744866703658,M1
5464379351801796,T2
4026502326835615,T4
3538097912282879,N3
3550328107424445,M2
3577799861602765,N1
5100176109340113,N5
3582249317509324,N1
3530383758389806,N4
3568633489125498,M5
3540369696029354,N3
3583704473810477,T6
30331515530817,T4
67610019635128987,M5
4342718092960,T6
3579463400021296,M2
3579226531217665,T1
5893443349870056,T5
201462070720940,N5
3589610938734695,T6
5602219718453095657,N4
5602251878101104,N3
4041591616021896,M6
3567407636913119,N4
6771556928930028,T3
5602258901443858,M3
54374115,M2
3574481450895158,M1
3561254216257483,M6
3566544487447218,M6
374622136823415,N4
3574646926170275,M6
36688517867123,M2
6709901781778626387,M6
51001415,N5
372301517773737,M1
3544577609388487,T1
6761068468072254,N5
06040887004856299,T5
4405359852711632,T5
3575043382902921,T3
30548207256290,N4
5100136618076996,N5
3560753046138707,M4
6390446539336099,M1
3549715333600596,M4
201953253106006,M3
4911592151172224,M2
201907347764857,M2
51001815,N1
3532549774037243,M2
201436349719222,M5
56022168392229762,T1
35699215,M4
374622117889039,N1
4508777020808178,N5
5180328347786242,M5
3548066581716978,N5
30044901905291,T6
35591115,M1
3564741421323461,M6
6392146796821951,M2
3571737378463541,N5
3562415,T3
337941389521062,N2
3542738594884326,T3
5602259741784016474,N5
5100136420129249,M1
3577877997806763,N1
40260415,M6
35305615,M6
30053106896296,N1
4175006538571421,M6
5893325640209188311,T6
30020075924813,T5
670698460906256345,T3
3580656322357246,N2
67594240984525116,M3
5002359720016994,N4
4041379802101,M3
4905284790591638,N1
5602228090877182,N3
4041371845389,M5
201602519141162,T3
35767815,T6
3530851636698796,M6
3583374304547571,T3
3558510156009571,T3
3569690064944478,N4
35557615,M2
3571681887883957,M5
3574673533308924,M3
5602235465434721,T4
3558240127843144,M2
4026297372164727,N5
36581690007056,T3
3532685817185225,N3
30455314536335,M5
3545400812838173,N1
501810010648487268,M1
30152151511584,N3
06049577024382191,N1
30076131183976,M3
4405188551558667,T6
5048372469635094,M3
5257595125356707,T6
6331100845885644,N5
3570082911186072,T6
675989087171252803,M4
5038719393577305978,N3
3529288622620653,M3
5048372442748014,N2
337941355539205,N2
4041374771988,T4
372301341983569,T5
630466240111178110,M6
3543830666146335,N4
3543563869585823,M3
30077853232223,N3
3544147635636752,T4
35432415,M1
3536192851576308,N2
3552757286219044,T1
6395655688345975,M5
36971292652542,N4
3544012323017642,N5
35545715,M1
6387565121429742,N5
561066293453556758,N4
3583963520297126,N3
4026663357791679,M3
3547033671099567,T2
201733089887908,T6
3540681417581442,N3
5038569937255828817,T4
6759296894218179277,N3
5002359279761362,M4
4905277012138022,T4
6333832383829868044,N4
5100144302999861,M3
374283746425172,N3
337941387870198,N2
3557062517638343,M1
372301719426423,T2
50023615,M2
3540641502828264,T5
676345693087213271,N5
564182346236551620,M4
3563253219804315,T1
3553583919248997,M1
4175007255090116,T4
5300891624064356,T6
3584309551191771,N1
3566177726393487,N1
5602212429208145,M3
30181734233838,N4
3551867744624924,T6
346633781987467,T4
3534744784904759,M2
67097115,N2
3528374960505358,T3
4508328531625766,N3
201908961343523,M5
3537458213782887,M4
3541244955402064,T2
3559286704843279,T2
4508212688379197,M2
3572408174923406,M3
3584019719143271,N5
3569415903142989,N4
3560377747818472,M3
201553305905684,N5
4911696059385670434,T1
3578759446929413,N5
3543935324490486,M5
6304994570859543787,N2
3582928268031095,T2
36209940057552,N5
5010127180116566,M1
675977989221503743,N4
4936365383379052,N2
6333664708411394665,T4
5602245420679567,N4
501873952102908467,N5
3588761982523863,M3
5893090552914574,T6
4913369871849318,N5
374288451291594,N2
35551515,M6
30275720066275,T5
3548471207220928,T1
3537314449023457,M2
6304844105894571,N5
5602237703387059,T3
3553147278118371,T1
3558320994877886,M2
501871492834856090,N5
5602231653929721,N1
3558082368786255,T3
4175009361481858,N2
5893857299516987372,T2
3586191636641212,T1
3564737312491391,M5
337941678576785,M6
201461837231100,N1
5007663191047155,T4
30515429847206,M3
5162420637082788,M5
5610115,T1
5542610097916498,N3
5610068938635776,M2
5038116154753552232,T2
4936318671475832305,M3
6375329445355008,N5
3579854106347821,N4
6759255734050321,N4
201813273989932,M4
6761969347655001654,M5
3546618838087249,M3
5557107489868892,T4
3530781787813425,M1
201927534557575,N1
30348829826012,M1
374288274093722,T4
5893067992524841,M2
30175401510239,N5
3552844514544474,T4
3535364539433993,N5
5243031696304667,T5
5100133263615988,N1
63041113644949133,M1
3579459093742305,N3
5435650686678935,N5
604765117705820,M3
3556278696596992,T2
3573922860579941,M5
3556845904210366,T5
50101215,M4
35477815,N2
3571523818359097,N2
5602253335365173,N2
36670914726243,N2
493615558577570287,T3
3569538666395575,T6
561013784279946870,N5
3546318197168553,M4
3562223618502944,N3
3543266111416496,N5
3581854102915908,N5
4917895849800294,M5
3568458963614324,T3
564182253882881048,N1
3563768330846192,T5
201671399175681,T4
3587402872298925,N5
35884615,M6
3566467771317162,T1
3582515523345731,N2
3542021191694145,N5
3534524930961634,N4
5100147906463051,N5
3548598800793131,M2
4026157481946143,T1
3576522807612925,M5
5599938484181067,M4
4405957026165013,N4
4844226784735998,N2
5337712790089349,N3
5602255750542561881,T1
354615,N1
5144748622303063,T3
3560928785708171,T2
5048378942766968,T1
35579315,N4
3557385193149925,T1
3539841974253016,N4
3532507768191624,N5
3575110653775029,N3
51001715,M3
3587777456405255,M2
3578414375285391,T4
4844499637468576,M2
3547298847567694,M2
3530901604124968,N1
201538750730216,M5
6759974725119677,N3
3551909196470495,N2
3578244772321782,M4
3574867999887112,N4
6763246285669170670,M2
30135562884062,T3
6381194029729826,M4
3579210609286539,T1
5038200038070661,M6
6767002092354120522,M1
3568775303402809,M6
5602234623713037179,M5
4405932038759756,T3
201405390589743,N5
35685515,N2
3555031884392299,N1
3577818090309487,T5
3557143659477698,M6
3579433198831784,M3
3535501991858312,N1
5294661880483584,M1
5436609585084248,M4
5602259250391508,N1
5242061709311632,N5
3542441799429936,M1
560221242530059934,N1
3585804579028988,M5
3564519612933961,N5
4175005235360336,T3
3531780587015495,N5
3586331092935852,M5
6389546939478764,M5
3567451966603379,T2
35551415,M1
3582505056832973,T1
6395729999194933,T3
6384684605223118,T1
6759313790544623633,T4
56022215,T5
5112074386071921,T5
30519092182990,T6
3589035147753395,N1
30151644820271,T1
4844936263641513,N4
6763597493264596910,M4
5610999141019228,M6
201605664537126,T4
4903051997095252082,M4
5602249698705914,M3
5602248261071159,T4
670605259874923601,M4
201887966441690,T1
36744216789041,T4
337941286342232,M1
3571341673824331,T5
3533539141178951,M4
502043634555901636,N4
30044093392977,N5
3535414029754497,T5
6333186208446843256,M1
3545146887422837,N1
40266915,T6
5602250345590923,N5
5602217878555799507,T3
5010124187981837,M2
3552778759742304,N5
201552407618195,M4
5437180461273981,T6
06042395669013329,T2
3529719831644308,N1
560222877387527548,T1
6371165435958102,M1
67710127086708402,M3
6397271080774719,T4
4041598381762,N5
3585228644427191,T1
4880903704592,T5
374283314748898,T6
3551396946139143,N5
5524708830373852,T6
4041375278868,N3
5280019139550511,M6
67717629885182658,M3
3560311553762185,N5
670966367794172556,N5
3575759680554177,T1
5561234597695068,N1
3530340538601934,T5
344696033955774,T6
5108754343634046,M4
3571530660121418,M3
3562578565155222,T1
4905991473195251,M6
4405306678223664,M5
6767974991623971686,M5
30582137765054,M2
491113587615432185,T4
6709490940251181024,M6
5100175167814118,N4
67712245782792773,T4
201777798225017,T4
201721431368826,T1
677125715926959907,T3
3574868521578013,T6
6391388632090059,T2
493644817408563845,N4
3567194747937357,T2
30158370071722,T3
3573548268964615,M6
3574366189799963,T4
6395531955001908,T5
50201003459154254,M5
36978726002541,T3
5048377076905384,T5
6304934765789441,T2
3540930004920871,N4
3588792473738504,T3
4917725970893091,N1
3562281574426599,T5
5100138711596847,N3
3545906953752957,M2
4844169621892319,T4
35894115,T3
5247258870361827,M4
4917113433859159,M2
3555973210879186,N2
53076815,T4
5641821684747241812,M3
3568211196849237,N4
3545599791685909,T1
3537035534973088,M5
3585761876187141,M4
4508724652264858,T1
675993775189988236,T5
5610204849125835,T2
5602231214737953113,M5
56022515,N1
67624034503421376,N5
670680322143542442,M3
55703815,M3
5602222293161825,M3
4017958830200,T2
3548121111754013,T2
30028182289657,T3
5457264265673177,M1
201729573332104,M2
35576315,T4
3571138793815912,T6
374622571422640,N5
30472066078382,M5
6334010612652779353,N4
3536057140756054,T6
3563298035801995,M5
3565393618916241,N2
55912115,M6
5407355387849991,M3
6304348894400262652,T5
5602234485389391532,T4
4844091782624143,N5
3555097662694388,M2
3547329020861487,N1
5048376500504334,T2
6771648501376005752,T5
3555200111933312,N4
3557864962160909,N4
35732815,N3
5602246613329077,M2
6333735332154711,N5
6331108101644175,T5
63049758699339507,M5
3564326860760058,T1
3531033069030107,M3
4294530089504222,N1
3544645473928041,T6
30201032595322,N1
3555143421888737,N5
491143799966866846,T2
35589515,T5
3532660264057532,N1
5007667954575336,T2
6759694209782713,M6
5100173833558722,N5
5447169081053947,M6
5328572314441199,N4
4026549903564035,M3
63710915,T3
3550773027245885,M6
3555590915597218,M3
4041591802079,T6
4017951399672119,T4
3536001778064746,T3
5134262964405785,T2
3559214978529879,T2
35634115,M2
30371424539582,N3
5602254892237318,M3
4911852800436861,T4
3550515043797401,N4
3556218103446175,M1
3588382655548713,T4
3561989118478576,N3
3583004911389436,T6
3578933881500977,N4
3579128618169316,T3
372301588212805,N3
3534679787804525,M3
35401315,N5
3533997374590609,N2
6709154219627284,M6
4175009866762752,M2
3574252917091545,T4
6767153486958291126,N5
3559024927051622,M5
3563270773434925,N5
5284299510397197,T1
3573426360043713,N4
3565838032707782,N1
5108753388559357,M1
30244538415603,N4
3575431817043389,T1
5487084038591728,T1
6304068553212199,M1
51106515,N5
3584096936948989,N5
3551541137522934,N3
3553156358498348,M6
4912070586116792,N3
5610962088578818009,N4
201800196855803,T2
4026861214210939,T6
3534637601141425,T6
3530442781349797,M1
3570514979488586,T2
5002357924720403,T3
5471148587785912,T5
3584576794906922,M3
3539145317250279,N5
3533386188085131,N5
3574775978987052,N3
67615714072914098,M3
630426133120529804,T3
6333069529733065,M2
561034173236698037,N2
5602238416418595,M2
201432369395076,T5
374283009587718,N3
3546157626944303,M1
5108753332260656,M6
50385462252699584,T6
3529703124129656,T5
3549459314768227,T5
6709276019983472801,M5
30314064344665,N3
5403076945985663,M4
3576315,M2
676119158647813790,T1
5602245172159338573,M1
67069414875502874,T3
201616460280241,T4
3556866469197046,T4
201964873808749,N2
201646485975830,N3
5100175833520776,T3
5100141709482947,N3
3537809332735786,T4
3537615,N2
4844424444889814,T6
5241744545867062,M5
3530158563655322,T3
3546673850504449,T2
6334117798834848,T2
670676819339471290,N5
3528837213617832,T5
35306815,M6
6763549409575406598,T1
5175005442599616,N4
5602213847874245,N4
3529602656703534,M5
4041594345300243,M1
5587214810746997,N3
50380760435740869,N5
35310915,M5
560225327057830217,M2
3528334895570414,T4
3586467412969187,N5
5100170629401547,T6
201844104891294,T6
3539014774968064,T1
677183588030554123,T3
374622126268308,N5
3539475374214789,N5
5454155015652763,T3
5111885206660887,T5
3563146592188423,N5
374288104350813,N3
54369615,M3
3575180068795789,T2
35775715,N5
3574869067120491,M4
3573303605471589,N1
060497346426640711,N3
3551519501090332,T6
30222338806080,N1
5100175244258404,T3
35596815,M2
6334570272200122366,T6
4913148381061485,M6
3535340613852522,T6
3546524992005979,N2
4905284812453031,T5
560222630256739185,M4
3555589962821737,M6
35398315,N3
374283535803340,T1
67090267345803741,M5
4936115,T5
3541771043970975,T2
5610062484396313,M2
337941659917891,T3
201513705973062,T5
3558106194941121,M1
5321568419375834,N3
3542792126120402,M2
3557305535385565,M2
3535584975609125,N5
5602257445521088,N2
3560382648033098,T6
3533230192236571,M2
3555314270349747,T1
4017952543288,T3
3545215031710817,M3
374283859955825,T2
3565159191274468,T6
3578871176563005,N1
3560675724474726,M4
41750115,T5
340803931977850,M5
5007665542549771,T2
5100170249064832,T3
3539213368433747,T4
67718304471425833,M3
6304560245412112,N1
4041372470674,M1
3566098801398003,M6
3568716863339619,N4
490543631912701173,T5
3586534839430042,N5
5455992315918703,N5
30229604793678,M3
4346409139048,M3
604281969423512,N4
3537650805146774,T2
4041373597962541,M2
3577577301507715,T1
30107796720065,T4
50389418965739915,N4
3531680459014016,T3
4917646796294944,M4
5100132363986414,N3
3572638854253779,M1
491131271707524260,M2
3580192656601439,N5
30336449334160,T1
341353230959885,T2
3532880001047477,M5
3572305872747949,N4
3534432204499093,T4
30040657246021,N1
3583581402114951,N1
3569933468437321,M4
5120706159508429,M1
67061097554545690,T1
5010128822052144,N5
372301698371350,M1
3540598603663851,M2
3549679448687668,T1
201692855648797,M5
3539058519616116,T5
3553957966379311,N3
49368215,M5
3574581897551122,M2
372301085474650,M3
5602258423097836,N5
3561187445112642,M6
3567029982675405,N2
4913696103162668,T1
3544834395602922,N3
63715215,N5
5339755224057935,N2
3560402774967727,M1
3564509406521098,N5
6388945106353902,M2
5569800930943142,M1
3538637191105455,N3
3557287826768313,T1
342265235157290,M3
3557822092819778,N1
3531413483040272,T6
633379997138420755,M2
201918708161377,T1
5602257719094606178,M1
4508656873118986,M3
374283968405332,T3
6333898239162318,N5
5107099449558975,T6
4913647409895204,N3
6394314120307034,T2
30461674156995,T6
5500503196746082,M3
3584338078118165,M3
3561954728158489,M2
56022438407592029,M2
51001315,M2
0604672313923408572,T5
35814315,N2
3546907497465907,M4
5602212298886203,N1
3560868132100641,T6
3559143432489612,T1
6706120006083927,T5
30468392933274,N2
3566231661032392,M2
50076615,T2
5602220213868958,N1
3586515,M5
4913712972893562,N5
4017956166458,N4
30345492788982,N4
3553399332465872,N5
5567539783444798,N3
3535824526783197,T6
30562822878925,N1
6762521009139637235,T2
5276358471307494,M3
35403315,T6
3564326770965607,T4
4911685473681474,M2
3572650512523733,N5
5007666796784056,N1
201561265666600,M5
5020169618675872831,N5
6762250177517628816,M3
30508215400777,N4
201454006005082,M5
5567379576115903,N5
35726115,M1
4041593847975338,N5
3560859061940057,M5
5456043320857301,M3
