Data_emprestimo,Data_devolucao,Cod
7/3/2021,28/5/2022,201972707664246
8/10/2021,28/2/2022,4041595251620
6/6/2021,,30324360169872
9/9/2021,17/5/2022,3576348577095830
21/6/2021,12/4/2022,3537510468122373
29/7/2021,1/3/2022,3570320313636306
12/7/2021,16/5/2022,3576554128399437
8/10/2021,16/3/2022,3544933497602986
12/12/2021,12/9/2022,3531054035141604
15/12/2021,,3543793901725513
13/2/2021,8/9/2022,060448861139489677
12/4/2021,27/4/2022,3531205438207463
23/8/2021,12/6/2022,633465800013452817
21/12/2021,23/8/2022,6398987241649727
11/11/2021,3/10/2022,201423048949797
5/8/2021,8/3/2022,30278248231496
16/12/2021,,3531667332630118
20/9/2021,11/2/2022,3584294658600835
15/5/2021,5/2/2022,6399499632924544
24/10/2021,,3541955771820318
26/11/2021,,5002357132367161
1/3/2021,,6304925962127831
6/2/2021,,3581306480371923
14/10/2021,28/2/2022,0604676006884776
3/9/2021,1/5/2022,5602241581482909
25/9/2021,,201412723297937
14/11/2021,20/7/2022,3549065375192544
25/9/2021,18/6/2022,374288822414578
7/8/2021,13/6/2022,5038305667228314
10/1/2021,,344845228500578
25/1/2021,21/9/2022,3529292961248506
16/4/2021,,30039221949045
6/5/2021,,67615244985791458
27/5/2021,,3579774006647460
10/9/2021,,3543493847920076
9/7/2021,16/6/2022,374622843905307
4/1/2021,28/8/2022,5641827574397824
18/9/2021,1/5/2022,4508233372776845
23/7/2021,,3567326631381660
17/12/2021,12/2/2022,501877000070266751
5/4/2021,5/9/2022,3573345482730702
21/11/2021,28/7/2022,5602224648740337
15/4/2021,,3536365374293961
30/10/2021,26/3/2022,3538861294062005
2/3/2021,,3555982627391545
4/5/2021,15/3/2022,30049554977943
15/11/2021,20/5/2022,3568099065960668
21/1/2021,,633110696106304611
4/11/2021,,6393010198932726
9/11/2021,,6373744833916298
26/7/2021,21/8/2022,201794167182174
12/1/2021,16/8/2022,30202133068656
6/9/2021,19/4/2022,3534535623110693
21/7/2021,22/3/2022,5610778865360004
5/11/2021,21/3/2022,5610518945427062
8/11/2021,30/8/2022,3577232808809434
6/4/2021,,6376633693428816
21/3/2021,,4905485832247073980
21/4/2021,25/4/2022,3573422901524808
1/10/2021,30/6/2022,3545538545464120
1/8/2021,1/10/2022,3572196738613031
9/4/2021,,3531071995071100
4/2/2021,2/7/2022,201702323293876
1/9/2021,,5602248920777758
1/9/2021,3/2/2022,3537842260748638
9/9/2021,8/3/2022,3585649758018668
21/2/2021,20/9/2022,5100146785531970
4/3/2021,19/9/2022,4913997157966602
12/12/2021,19/2/2022,5100173709089075
7/1/2021,,3565259937429549
5/2/2021,20/7/2022,201928125194075
10/2/2021,,342367709609077
18/5/2021,1/9/2022,374283197362387
20/3/2021,,3560466464130672
15/12/2021,9/7/2022,3563965472029682
27/6/2021,,5002355052140634
28/7/2021,31/7/2022,3556271429895443
25/11/2021,8/5/2022,67061095269854647
7/7/2021,,3573110230408534
23/7/2021,22/7/2022,3574577227833859
5/2/2021,11/6/2022,67719003440128093
31/5/2021,11/3/2022,3542630863011378
13/12/2021,15/6/2022,3548529866401715
7/7/2021,7/8/2022,3549316651002539
15/8/2021,4/3/2022,5007665475857357
13/4/2021,,5100147288142042
22/5/2021,,5515897512940285
7/8/2021,17/9/2022,3558698947101912
1/7/2021,,6304289383169744
28/2/2021,20/6/2022,4041595039918
11/7/2021,,6767338735089601555
4/4/2021,,3582171916156465
12/6/2021,,3555038899947637
2/7/2021,,3544238888624049
15/3/2021,23/7/2022,5324205600358876
29/1/2021,,5602223752029099
22/1/2021,30/8/2022,3563159312447854
7/9/2021,,3565742216995124
12/2/2021,27/3/2022,372301830617207
26/12/2021,4/7/2022,3561923044930525
15/6/2021,29/4/2022,5100142539457901
19/12/2021,,4905462557764129926
2/3/2021,20/8/2022,3570913801391994
26/8/2021,17/4/2022,3569314923477295
9/8/2021,,3570316909998928
8/12/2021,8/6/2022,3555739119536346
24/3/2021,10/2/2022,67635927569156652
10/7/2021,8/3/2022,3528632194849219
3/9/2021,,6388491277875555
30/5/2021,1/9/2022,5108755867896820
12/9/2021,,3573207520519432
13/7/2021,1/10/2022,3587991066069878
21/1/2021,9/4/2022,6395083243296387
24/6/2021,,3528089646069112
18/3/2021,,5602211478223773
4/4/2021,,3533047585993778
29/10/2021,2/3/2022,6761601118469379907
12/6/2021,23/7/2022,3566901949599723
22/5/2021,28/8/2022,5602226862541150
26/8/2021,13/7/2022,3530546032210481
9/1/2021,30/7/2022,675943253734880861
19/10/2021,,201973148192706
29/4/2021,7/8/2022,3570337015495344
24/2/2021,5/5/2022,6759244250121872
26/6/2021,,5602213452334078817
23/3/2021,12/7/2022,4911452142029866891
17/2/2021,13/8/2022,5241407299416938
16/11/2021,25/4/2022,3535866287059309
25/7/2021,,3589383838634643
20/11/2021,25/3/2022,3555492858066980
27/10/2021,,3549665721287599
30/1/2021,9/9/2022,3588088793972489
12/12/2021,,3573102466112054
29/3/2021,9/7/2022,3556462362676524
4/6/2021,5/10/2022,3547586231193691
15/9/2021,17/5/2022,3562691880472022
14/7/2021,2/2/2022,3562494508678934
27/1/2021,31/3/2022,3589886048259092
31/8/2021,,3582544057612761
17/9/2021,,3537594600584005
20/6/2021,,5100140381084708
22/5/2021,10/4/2022,3532956577293099
9/1/2021,19/8/2022,6771018866896265
27/2/2021,,3570742108278244
3/10/2021,20/8/2022,374622499710555
14/4/2021,24/4/2022,3548065779758214
26/9/2021,,5610841332173820
24/1/2021,12/2/2022,3543317187768201
9/7/2021,,3560859655082480
5/4/2021,5/2/2022,3572559783673228
8/3/2021,29/3/2022,56022532753416096
5/6/2021,,4508519703063048
13/7/2021,7/8/2022,3566916925667005
5/2/2021,,6771242349288185
24/5/2021,27/8/2022,6333863074710696
15/9/2021,,3560357813917192
27/4/2021,4/8/2022,6391145702175610
15/12/2021,7/9/2022,4508772366813874
3/7/2021,11/7/2022,4017953643952131
31/1/2021,,5498869363436185
17/9/2021,28/2/2022,5007669007879467
5/7/2021,,3571317658777439
14/12/2021,7/8/2022,5007662915647431
1/6/2021,24/2/2022,3576255757034820
5/12/2021,25/7/2022,3583131111961522
26/5/2021,,3532807371142240
26/9/2021,7/3/2022,201480697789460
17/4/2021,15/8/2022,201972108938413
4/7/2021,5/6/2022,3532541694019641
19/7/2021,,3528350807896655
31/3/2021,15/2/2022,6398691443284933
10/10/2021,20/3/2022,4017950347971
4/6/2021,,5241850045054406
24/6/2021,15/5/2022,3568657165642310
8/1/2021,,6763218207518505926
23/1/2021,7/9/2022,5602219645737724499
4/6/2021,,6759071114545503
27/11/2021,,6378099942922017
29/5/2021,,5108754854698356
7/2/2021,12/6/2022,4913123626543795
21/2/2021,,30238456251420
9/9/2021,2/4/2022,3554211450124679
23/2/2021,10/9/2022,3543879596209747
18/1/2021,4/6/2022,5602233169069042
1/1/2022,15/7/2022,3550650890332489
2/6/2021,23/5/2022,5602217321392657
29/5/2021,,3543482661177079
20/6/2021,27/5/2022,490382641264530553
20/2/2021,,3528515793433040
19/7/2021,,3577896276948112
10/11/2021,,3548443824424027
2/12/2021,,3547801612266275
31/1/2021,,3542729415227258
17/7/2021,,3576448535997752
18/3/2021,26/5/2022,56022142560354694
13/12/2021,6/7/2022,3549378108247174
2/12/2021,,201484350143122
2/12/2021,26/7/2022,4508131043662115
21/7/2021,16/6/2022,3539375744076332
4/4/2021,,3583667309730039
1/11/2021,14/7/2022,5101600530452972
12/6/2021,14/6/2022,6331101518938736
21/6/2021,23/5/2022,3546545677588872
9/4/2021,9/3/2022,56022220054937131
5/11/2021,18/9/2022,3538037930699670
11/7/2021,27/3/2022,3532128009400656
7/6/2021,,3536486019950110
14/3/2021,24/5/2022,3576960467664796
11/6/2021,17/9/2022,3563614212178819
5/1/2021,9/3/2022,5158546805273787
15/3/2021,19/4/2022,3568104041752393
19/9/2021,26/9/2022,3577399239221594
26/7/2021,14/8/2022,201449907684910
19/6/2021,,5007661622393552
30/8/2021,29/9/2022,5420491986407452
6/3/2021,,4041597984715
16/2/2021,,3583807766425539
4/6/2021,,5465862454403361
3/4/2021,22/6/2022,6763717018220213394
26/12/2021,5/3/2022,30139774918064
22/4/2021,,3566925180248542
30/7/2021,17/3/2022,201492778644696
9/9/2021,,3551720633108469
8/9/2021,,6767952639737543430
28/10/2021,,5602257555412540
6/10/2021,,3576054717262047
27/5/2021,,3570030499657113
7/1/2021,,3547803138412987
28/11/2021,,5038774355905675739
17/2/2021,,3534427257296032
26/4/2021,26/4/2022,5602223188422736
15/11/2021,12/8/2022,3566954083688489
24/9/2021,31/5/2022,4405492734971015
15/6/2021,,3533050534398289
29/9/2021,,3534478652381887
4/10/2021,7/5/2022,5002359314871630
25/11/2021,15/7/2022,4905462677429920
20/11/2021,18/5/2022,4405395557002547
20/12/2021,28/3/2022,372301009761695
2/8/2021,9/3/2022,4017956349263828
27/5/2021,,3575158462433249
19/11/2021,12/6/2022,3556061825435377
14/6/2021,29/4/2022,3581346975767029
7/12/2021,7/4/2022,5506279333975181
21/12/2021,,3588744358282736
8/6/2021,,30186211384996
30/6/2021,13/6/2022,3541085557430874
7/10/2021,4/6/2022,3547299555902701
7/5/2021,17/8/2022,374622472093565
20/10/2021,4/9/2022,3564638282897726
19/2/2021,5/8/2022,3556563216379262
16/11/2021,,201614962797150
15/2/2021,,3568803310514687
29/12/2021,,3531976902084758
2/10/2021,,30358447511722
21/1/2021,,5602219205939173
17/2/2021,6/6/2022,3558746057267492
8/9/2021,12/7/2022,67636933563776890
10/7/2021,9/9/2022,3558764690742540
26/6/2021,9/3/2022,4381778132662
16/12/2021,,3554146585598977
2/10/2021,8/3/2022,6333348285874911
21/10/2021,,36927071336798
29/4/2021,8/7/2022,5002353705464717
9/2/2021,28/7/2022,3534534939894546
9/3/2021,,3584399113540102
12/7/2021,,3559436820139926
12/11/2021,17/3/2022,5100171373215018
17/7/2021,23/3/2022,3529734930735477
2/11/2021,22/7/2022,3543050811117913
29/11/2021,,3583593873533239
13/8/2021,17/4/2022,5018507689334491
30/1/2021,13/2/2022,3536462765634331
26/7/2021,,5002352841504972
24/12/2021,18/5/2022,36075686853490
18/10/2021,,3543437666209863
9/11/2021,3/7/2022,4936790706961692
16/9/2021,12/7/2022,3580058008794042
13/7/2021,31/5/2022,3538195296443339
3/4/2021,31/3/2022,3535862468999611
29/5/2021,27/6/2022,30542741231877
29/7/2021,,060444998014290152
4/1/2021,30/7/2022,3532198223814131
18/1/2021,,3565223386337892
24/11/2021,6/4/2022,564182533645973384
15/6/2021,,3581953663449446
14/12/2021,13/5/2022,6372493061268508
16/1/2021,,3579194477149914
16/9/2021,,5007667341243416
30/6/2021,12/2/2022,30429502879732
8/1/2021,,6767029628503214374
8/6/2021,,3577730671959772
22/9/2021,,3547537701045713
20/1/2021,8/2/2022,6381566740277153
18/7/2021,,63040932556148546
26/3/2021,22/7/2022,3559263364300361
1/9/2021,,3549084448156493
15/4/2021,11/8/2022,5010125053534113
4/5/2021,26/5/2022,3544002529027347
7/5/2021,,3564896585903381
8/3/2021,5/7/2022,3583672115836467
5/11/2021,30/5/2022,3531011978646981
21/8/2021,25/7/2022,3538654971054464
9/2/2021,,3545539501164522
14/1/2021,6/6/2022,3566884463769593
7/5/2021,26/2/2022,3528844665929475
17/11/2021,15/3/2022,5100178927837247
9/5/2021,,6334640626246117
25/1/2021,,560222668678527366
5/2/2021,14/7/2022,3582949771231428
3/1/2021,,6759866949432081798
3/1/2021,,30248712939700
7/8/2021,3/3/2022,6759911729269430507
18/11/2021,,6761639223698295571
2/8/2021,14/9/2022,5602253153724956
11/9/2021,,3571045729707578
4/1/2021,19/3/2022,630439259677082197
16/2/2021,,6382715662840972
19/6/2021,19/9/2022,3547181677306047
29/12/2021,4/8/2022,6761289019264768121
8/8/2021,29/5/2022,201717696359039
8/6/2021,14/8/2022,30365744596678
9/12/2021,15/2/2022,3538554502497028
7/1/2021,,30372809955872
28/3/2021,30/5/2022,670653747545413250
6/3/2021,,3543148732087551
22/11/2021,26/9/2022,4911586420752701348
13/10/2021,17/5/2022,3570314413654756
5/9/2021,,3582041910262645
2/12/2021,2/4/2022,337941550327554
11/8/2021,26/5/2022,3553109226626921
4/6/2021,24/6/2022,3576354430525849
15/3/2021,18/3/2022,3582883406422302
9/12/2021,,3569122344869069
15/9/2021,,3571660511871786
1/1/2021,5/9/2022,5010129643340239
13/6/2021,3/6/2022,5108753638321202
1/3/2021,,3557392641096815
9/12/2021,,337941952953155
30/1/2021,,3570175389335641
4/9/2021,6/9/2022,3581722561984584
25/10/2021,4/7/2022,374622100967388
29/5/2021,,4917226949173426
11/9/2021,,6762855491057241099
21/6/2021,,5602251516700812
26/8/2021,3/7/2022,3555306417779331
3/6/2021,,4903706115201453
27/11/2021,6/4/2022,560225748289492247
10/10/2021,,3542705237189025
21/3/2021,25/4/2022,36267022229739
16/9/2021,,3587859678351507
9/5/2021,19/3/2022,4508640796341370
24/8/2021,30/6/2022,5459396524016562
19/5/2021,,3529326402746650
28/3/2021,1/6/2022,3532998318268527
6/9/2021,,4041379248491640
18/8/2021,14/6/2022,3545002829325481
4/3/2021,,5112129785245250
5/4/2021,,5108755479949082
14/12/2021,,3550028394358328
14/9/2021,14/6/2022,060491053374233194
2/12/2021,5/7/2022,3564640410887678
25/6/2021,30/4/2022,5559893144747799
20/11/2021,,4405833801329365
17/3/2021,,6333884396848746493
25/8/2021,17/2/2022,6331103116786129
2/6/2021,,3538115428206040
23/5/2021,26/5/2022,6767393178243635353
15/1/2021,27/6/2022,374288170080054
10/2/2021,,3570472990271806
28/10/2021,14/9/2022,3547371757170120
26/8/2021,9/6/2022,3533692545513933
4/8/2021,29/3/2022,3575347181387766
9/12/2021,7/7/2022,4911266027679545737
22/6/2021,6/7/2022,4175007009048105
28/11/2021,14/2/2022,374622315188614
15/8/2021,,56022426468681435
2/1/2021,,3547743084494995
26/7/2021,31/7/2022,5379682728307361
16/10/2021,,3574212991156564
28/3/2021,,5007662818673328
3/1/2021,23/5/2022,4041378050465924
28/8/2021,23/7/2022,670654508341063619
23/5/2021,6/9/2022,5100177421605662
15/7/2021,28/3/2022,6304515840097863861
28/9/2021,,5602216844996390
9/7/2021,,5007667387072216
22/2/2021,10/2/2022,676765101068784865
30/11/2021,8/9/2022,3549240838065914
10/8/2021,,0604752975111341
23/12/2021,,4913662074522447
14/1/2021,7/6/2022,63044805778779866
7/9/2021,20/8/2022,3533488554860475
21/11/2021,,676331420989926057
9/2/2021,,6333459113257588356
31/10/2021,,30418925887331
12/6/2021,,3576392329452931
30/3/2021,19/8/2022,3564240791149564
14/8/2021,,493644517387428081
21/10/2021,,3528741911061741
12/11/2021,20/5/2022,6304126417607192
20/11/2021,,3552357520709155
6/11/2021,30/7/2022,3575723346596998
17/4/2021,,0604778604446634
20/6/2021,,3554642510071478
2/11/2021,11/7/2022,3534164203672426
31/3/2021,,6398696407286535
17/3/2021,,3584994280507122
16/2/2021,,3532532914422210
10/10/2021,,4041590070280
16/2/2021,7/3/2022,3584660459521430
12/4/2021,15/5/2022,5602257807539314
8/7/2021,,5602222973655484
17/11/2021,26/6/2022,3537999174011592
30/10/2021,25/4/2022,3535624719000775
12/8/2021,,3584155499394625
4/5/2021,16/6/2022,3564444450557212
21/2/2021,24/4/2022,3559952016262637
11/12/2021,,3554589385520610
2/6/2021,,3581823317517445
9/7/2021,13/7/2022,3588581235227488
23/7/2021,28/4/2022,30277454323286
14/6/2021,,4936224827960615
24/4/2021,,3571300113721341
28/7/2021,13/2/2022,30412745885542
19/9/2021,6/9/2022,3539203210582957
15/1/2021,,5108754482047141
28/9/2021,2/6/2022,560221473715469149
29/12/2021,,3562399249996745
29/9/2021,14/4/2022,3577267041772239
1/10/2021,19/6/2022,6391073630815992
19/10/2021,,3574113547325408
15/3/2021,23/4/2022,3529482325636625
7/1/2021,27/2/2022,5100139401906924
5/11/2021,,3562551229912536
12/3/2021,,201857137329744
31/1/2021,29/8/2022,6759987522628076965
17/8/2021,,5492113113567098
24/1/2021,28/5/2022,36251376145915
30/3/2021,2/5/2022,3534127659180426
12/9/2021,,3540882483211605
8/5/2021,,6370464325833397
25/8/2021,10/4/2022,3541954324117397
17/4/2021,19/6/2022,501889370481815280
17/2/2021,30/6/2022,5531898206775235
17/1/2021,9/7/2022,201466491343828
15/6/2021,30/9/2022,6767332817999623
10/3/2021,,5602222704549188
29/4/2021,14/3/2022,3550014949772908
1/1/2021,14/6/2022,3584673711869836
2/11/2021,,5460038968535213
30/9/2021,25/9/2022,3578187379251243
14/12/2021,17/9/2022,3558617160642956
11/2/2021,,3545486636293471
31/8/2021,7/7/2022,3545395734022635
13/11/2021,,6761961805468063177
6/2/2021,,5594090748410216
8/6/2021,,3545764078295737
22/4/2021,13/7/2022,3577740118789153
4/10/2021,,4163708430531387
19/2/2021,29/9/2022,67630539385694512
26/3/2021,,56022577838876020
31/5/2021,,676316677651453012
16/3/2021,18/4/2022,3535388328147506
27/2/2021,5/8/2022,5262105152918065
3/11/2021,9/5/2022,374622780216429
29/10/2021,22/3/2022,5010121465590272
4/11/2021,,3556449560449002
2/6/2021,,3533594466861277
2/10/2021,5/6/2022,3531841350852371
15/10/2021,11/9/2022,3542548770801014
27/4/2021,5/2/2022,3556471584619337
16/7/2021,,30216085335285
25/6/2021,20/5/2022,3576647092461843
2/6/2021,3/4/2022,5412424750927561
14/12/2021,8/4/2022,346785157231118
29/7/2021,,4041597451429102
15/1/2021,23/2/2022,6396596210681629
29/4/2021,15/6/2022,341084748605716
30/7/2021,,3546464700968558
31/3/2021,23/7/2022,3562083975873852
14/8/2021,,6376647964335732
26/12/2021,6/7/2022,3579201622763497
26/2/2021,3/9/2022,3568534934727310
15/8/2021,,372301095076271
3/4/2021,3/2/2022,3549655866048526
8/10/2021,9/7/2022,3563382964101567
30/12/2021,14/7/2022,3550247168616345
9/1/2021,22/9/2022,3541349753861773
4/10/2021,,3576719390016924
16/5/2021,11/8/2022,3536456763810281
28/10/2021,,3532905700023501
21/10/2021,5/9/2022,3569379769553103
14/3/2021,,3579652357443178
18/8/2021,7/3/2022,3572893322058363
23/3/2021,16/8/2022,3571350355670748
5/9/2021,2/7/2022,3563215806579113
24/10/2021,21/3/2022,3566183804781791
11/10/2021,,3539485370448786
25/12/2021,,3582567037658372
28/6/2021,25/6/2022,3583635066966781
17/11/2021,,201592048636248
5/10/2021,,3558796421794580
16/3/2021,,3574221169459460
26/10/2021,18/8/2022,675929241370627959
8/7/2021,24/4/2022,633317915875698875
5/2/2021,,3579544753354879
29/6/2021,3/4/2022,633393013622945588
22/3/2021,4/8/2022,5048377165779997
3/6/2021,23/3/2022,5393810588062931
10/2/2021,17/7/2022,4867454441807
14/5/2021,23/5/2022,3558205709259472
1/8/2021,,5415294762874136
24/8/2021,,5450307062912665
8/9/2021,30/7/2022,56022282430626085
21/3/2021,17/5/2022,3558119443283906
8/12/2021,4/8/2022,3589420948195014
15/1/2021,18/7/2022,3568698711202498
13/8/2021,,5018922202104341122
23/5/2021,14/6/2022,3576079213019054
25/1/2021,20/9/2022,3534696222974556
18/8/2021,4/6/2022,5100131358482009
15/12/2021,,3570673911325346
18/2/2021,9/3/2022,4026347820678610
30/7/2021,,4405742750851701
28/8/2021,,3570478714179217
21/8/2021,,5602254028726148259
9/11/2021,29/4/2022,30536951313037
4/8/2021,28/5/2022,3540024307717471
23/4/2021,22/6/2022,5108755041814533
4/12/2021,12/2/2022,30586831870185
13/11/2021,,3563944549356204
15/7/2021,,5602245033579790
18/1/2021,20/9/2022,6393947007099561
23/10/2021,13/6/2022,4041370296352
5/8/2021,,30581769586101
21/12/2021,18/3/2022,30027084911848
14/6/2021,,4508042635222210
5/3/2021,30/7/2022,4508788233010528
11/11/2021,,6706058290803287113
27/5/2021,,3588970426925242
1/5/2021,6/4/2022,3528764859798215
14/7/2021,13/6/2022,201574595069148
18/6/2021,2/10/2022,374283833578446
7/8/2021,1/3/2022,3533981061623360
28/7/2021,29/9/2022,3589848605605075
27/5/2021,23/4/2022,3588726790857324
12/4/2021,24/3/2022,5602240095528389
23/10/2021,18/4/2022,56022516275504588
28/6/2021,19/9/2022,36085327267307
4/5/2021,10/3/2022,6391031558552385
26/11/2021,16/2/2022,3585568058859227
1/2/2021,,30456775041955
8/6/2021,18/4/2022,5100134675822089
14/1/2021,,3570380061084752
15/11/2021,24/8/2022,3574656977765089
21/7/2021,28/2/2022,3542928936379222
8/1/2021,,491150942381261272
15/9/2021,,374622814197843
29/6/2021,7/4/2022,3548866784803998
19/2/2021,16/7/2022,4017954919437
12/10/2021,29/5/2022,4917417530749894
20/6/2021,,3528705812634799
31/3/2021,12/8/2022,5149719805292915
20/10/2021,,4405688885487095
26/12/2021,17/9/2022,5108758872922664
27/8/2021,24/8/2022,3574599719250905
13/3/2021,9/3/2022,5602253821930696
30/7/2021,3/7/2022,3572816144559219
23/1/2021,8/4/2022,5002356384996396
14/9/2021,3/9/2022,3534757955097641
17/5/2021,,3580081205581400
10/3/2021,23/7/2022,4041599960051
13/3/2021,,3569376493718721
4/4/2021,,201837313810626
11/8/2021,,3536335125020666
27/8/2021,27/7/2022,5108755933492067
6/8/2021,16/3/2022,201921925319828
9/6/2021,16/5/2022,3561811750799152
21/8/2021,,5038062371767703
12/4/2021,17/4/2022,30287858640813
6/3/2021,15/4/2022,4405956103151631
18/2/2021,18/6/2022,3538623680171604
26/9/2021,,3536529757425801
21/3/2021,18/7/2022,3546768027949574
29/4/2021,,3552158999079587
7/3/2021,,6389386611908147
1/8/2021,21/3/2022,56106967533666348
11/10/2021,,4017955225479
25/6/2021,15/7/2022,3542449422171700
25/7/2021,11/3/2022,56022572530054851
10/8/2021,,3576616894561613
20/5/2021,,5447140913898825
8/7/2021,,3561423789930772
23/9/2021,4/3/2022,3540431589451515
16/11/2021,,6333331303565792766
8/9/2021,7/2/2022,67713397984754033
1/8/2021,29/4/2022,3544323116758361
15/6/2021,,3573383164816077
7/6/2021,12/3/2022,3542447200812339
26/9/2021,2/5/2022,30280229558574
12/10/2021,,337941214720871
25/4/2021,,3533909272588759
6/3/2021,9/6/2022,560224934632031608
28/11/2021,20/7/2022,3587407090930589
21/1/2021,,3584304937899296
27/2/2021,6/5/2022,6709499458599813
17/2/2021,,3537139066259385
5/3/2021,9/8/2022,3580219548131232
2/2/2021,,3528836025653100
2/5/2021,1/7/2022,5108757455620414
27/5/2021,17/2/2022,3579623500155886
28/8/2021,15/3/2022,3555668112038101
1/5/2021,8/9/2022,3579601353232176
18/8/2021,6/8/2022,5010125641271756
3/7/2021,28/5/2022,6762283041364545
17/1/2021,1/5/2022,3550041785864507
21/11/2021,,30057302860048
11/7/2021,25/3/2022,4398526807148
4/12/2021,,3574052121572227
28/9/2021,30/7/2022,374288916321531
28/12/2021,28/5/2022,3528622285021695
29/10/2021,1/7/2022,3582845049957507
6/11/2021,,3556260215821408
22/2/2021,,3576818861064692
29/5/2021,19/8/2022,5119402238373315
27/3/2021,12/8/2022,3547657991571333
29/12/2021,,3543697849668893
21/4/2021,19/8/2022,4903516455788894529
30/7/2021,,67628206139677839
25/11/2021,3/3/2022,3548251915585113
13/2/2021,11/9/2022,3583314771185497
10/3/2021,10/9/2022,493679496642992025
1/9/2021,3/7/2022,3532681894100526
16/10/2021,17/6/2022,3589866232100476
5/3/2021,5/10/2022,6763740618359289130
19/11/2021,15/8/2022,30370711854241
22/5/2021,23/6/2022,6334282544258674
20/2/2021,,3588693370841237
3/11/2021,14/4/2022,561058536344043133
25/10/2021,,5100140767931779
11/12/2021,15/8/2022,30595231514038
8/12/2021,24/2/2022,5018104662462795401
24/10/2021,22/2/2022,0604190281257617
17/3/2021,15/4/2022,0604351183017668706
26/4/2021,5/5/2022,201932609411898
15/2/2021,,4175003626822584
3/11/2021,,201830054622821
30/12/2021,,5010122952249638
5/5/2021,8/3/2022,676371629261201085
9/10/2021,4/6/2022,6395832820225122
2/9/2021,10/3/2022,561054924092754859
6/12/2021,2/4/2022,3557338224491741
24/11/2021,,3564583125475399
1/9/2021,2/10/2022,3565560743610499
31/12/2021,,30467770381064
16/12/2021,20/2/2022,5522882127568110
2/3/2021,,4175006613631199
28/8/2021,15/4/2022,3528727432947633
31/5/2021,,3556798729478256
18/4/2021,,5151761097325008
22/9/2021,11/2/2022,5641824897414691
25/2/2021,,5602238136359863
14/2/2021,28/7/2022,3529756675124740
21/9/2021,30/3/2022,6762712756890188100
4/3/2021,,5010128049671718
20/8/2021,13/8/2022,3585326333036305
3/6/2021,24/6/2022,4911342083204004
24/8/2021,,5048374444864237
2/7/2021,30/3/2022,3582696556301690
3/2/2021,24/6/2022,4905603404412925
7/6/2021,24/3/2022,3580139365408101
19/12/2021,,4936886984789720
18/8/2021,7/9/2022,3552214357434417
18/9/2021,17/9/2022,3555554018761329
30/8/2021,,3567032243856160
